season,round,fixture_id,kickoff_utc,home_id,away_id,home_score,away_score,teamsheet_status,model,p_away_31_plus,p_away_21_30,p_away_16_20,p_away_11_15,p_away_6_10,p_away_1_5,p_draw,p_home_1_5,p_home_6_10,p_home_11_15,p_home_16_20,p_home_21_30,p_home_31_plus,pick_winner,pick_margin,request_hash,model_version
202101,4,268117,2021-10-15T18:35:00+00:00,ulster-rugby,10bet-lions,26,10,ok,elo,0.003913,0.015913,0.019693,0.033285,0.051415,0.072588,0.01712,0.097504,0.112939,0.119562,0.115684,0.184987,0.155397,home,15,,
202101,4,268117,2021-10-15T18:35:00+00:00,ulster-rugby,10bet-lions,26,10,ok,home_by_7,0.025322,0.050566,0.044572,0.0604,0.076504,0.090573,0.019452,0.101454,0.10353,0.09875,0.088041,0.130513,0.110323,home,6,,
202101,4,268117,2021-10-15T18:35:00+00:00,ulster-rugby,10bet-lions,26,10,ok,table_position,0.023016,0.048708,0.043918,0.060273,0.0771,0.091925,0.019801,0.103457,0.105663,0.100586,0.089248,0.130704,0.105602,home,6,,
202101,4,268118,2021-10-15T18:35:00+00:00,dragons-rfc,dhl-stormers,10,24,ok,elo,0.008199,0.027906,0.031128,0.048684,0.06959,0.090915,0.020495,0.111268,0.119262,0.116834,0.104608,0.149627,0.101484,home,10,,
202101,4,268118,2021-10-15T18:35:00+00:00,dragons-rfc,dhl-stormers,10,24,ok,home_by_7,0.025322,0.050566,0.044572,0.0604,0.076504,0.090573,0.019452,0.101454,0.10353,0.09875,0.088041,0.130513,0.110323,home,6,,
202101,4,268118,2021-10-15T18:35:00+00:00,dragons-rfc,dhl-stormers,10,24,ok,table_position,0.023016,0.048708,0.043918,0.060273,0.0771,0.091925,0.019801,0.103457,0.105663,0.100586,0.089248,0.130704,0.105602,home,6,,
202101,4,268119,2021-10-16T12:00:00+00:00,zebre-parma,glasgow-warriors,6,17,ok,elo,0.052012,0.101022,0.081979,0.101731,0.115381,0.119604,0.02349,0.110893,0.094311,0.073307,0.052079,0.053882,0.020308,away,5,,
202101,4,268119,2021-10-16T12:00:00+00:00,zebre-parma,glasgow-warriors,6,17,ok,home_by_7,0.025322,0.050566,0.044572,0.0604,0.076504,0.090573,0.019452,0.101454,0.10353,0.09875,0.088041,0.130513,0.110323,home,6,,
202101,4,268119,2021-10-16T12:00:00+00:00,zebre-parma,glasgow-warriors,6,17,ok,table_position,0.105602,0.130704,0.089248,0.100586,0.105663,0.103457,0.019801,0.091925,0.0771,0.060273,0.043918,0.048708,0.023016,away,6,,
202101,4,268120,2021-10-16T14:05:00+00:00,benetton-rugby,ospreys,26,29,ok,elo,0.014748,0.042921,0.043738,0.063993,0.085573,0.104584,0.022668,0.118155,0.118476,0.108577,0.090944,0.118334,0.06729,home,5,,
